respid,int_date,state,usr,gender,internetuse,Give_up_TV,Give_up_cellphone,Give_up_internet,give_up_socialmedia,age,educ2,emplnw,inc
1,180103,42,U,Female,Yes,2,1,2,3,33,3,1,6
2,180103,45,S,Female,No,2,3,NaN,NaN,76,98,3,4
3,180103,34,S,Female,Yes,1,2,1,NaN,99,5,5,4
4,180103,24,S,Female,Yes,2,3,3,3,60,5,8,2
5,180103,33,R,Male,Yes,1,2,1,3,55,4,1,7
6,180103,37,U,Male,Yes,3,5,1,1,58,7,1,7
7,180103,12,U,Female,Yes,3,3,3,4,99,5,5,9
8,180103,34,S,Male,Yes,2,2,2,3,72,6,4,6
9,180103,51,R,Male,No,6,NaN,NaN,NaN,58,1,4,1
11,180103,54,R,Female,Yes,1,2,2,3,68,6,3,2
12,180103,51,S,Male,Yes,1,4,1,NaN,65,7,3,2
13,180103,12,U,Female,Yes,2,1,1,4,63,6,2,6
14,180103,42,S,Male,No,1,NaN,NaN,NaN,88,7,3,4
15,180103,37,R,Female,Yes,1,3,1,3,64,6,3,5
20,180103,51,S,Female,Yes,3,1,3,4,40,7,4,99
21,180103,21,U,Male,Yes,2,1,1,NaN,50,4,1,9
23,180103,39,U,Female,No,1,4,NaN,NaN,67,4,3,3
24,180103,42,S,Male,Yes,1,1,3,NaN,30,3,6,1
25,180103,36,S,Female,No,1,NaN,NaN,NaN,84,3,3,3
26,180108,26,S,Male,Yes,1,NaN,4,NaN,43,3,6,1
27,180103,25,S,Female,Yes,1,NaN,1,NaN,61,5,6,2
28,180108,26,S,Male,Yes,3,2,2,NaN,68,3,3,3
29,180103,42,R,Female,Yes,1,NaN,1,NaN,67,4,3,2
31,180103,36,S,Female,No,6,2,NaN,NaN,25,3,2,2
32,180103,12,S,Male,Yes,1,NaN,4,3,79,1,3,1
33,180103,13,U,Male,Yes,4,3,2,NaN,99,99,99,99
35,180103,39,U,Female,Yes,4,2,2,4,69,6,3,8
36,180103,42,S,Male,Yes,1,1,1,3,86,6,3,6
40,180103,37,S,Female,Yes,2,3,2,3,50,7,1,99
41,180103,50,R,Female,Yes,1,3,1,4,48,5,5,3
42,180103,36,U,Female,No,1,3,NaN,NaN,89,4,4,8
43,180103,51,S,Male,Yes,1,3,3,NaN,75,6,5,6
44,180103,37,S,Female,Yes,4,2,2,4,37,7,1,7
46,180103,33,S,Female,Yes,3,1,1,NaN,65,3,3,9
47,180103,18,U,Female,Yes,3,1,2,4,65,6,3,7
48,180103,26,S,Female,Yes,2,1,1,4,49,6,1,99
49,180103,48,R,Male,Yes,2,3,1,NaN,99,6,3,9
50,180103,36,S,Female,Yes,2,4,4,NaN,63,5,3,7
51,180103,12,U,Female,Yes,4,1,1,1,53,5,1,2
52,180103,36,S,Female,Yes,1,2,2,3,57,3,1,7
54,180103,9,S,Female,Yes,6,2,1,1,34,6,2,2
55,180103,45,S,Female,Yes,1,1,3,3,53,4,8,8
56,180103,12,U,Female,Yes,1,1,1,NaN,60,5,1,9
57,180103,26,S,Female,Yes,4,4,1,1,52,5,2,7
58,180103,36,S,Female,Yes,1,NaN,1,2,78,8,3,7
60,180105,26,S,Female,Yes,3,3,2,4,18,3,2,6
62,180103,34,S,Female,No,1,1,NaN,NaN,82,3,3,1
63,180103,13,S,Female,Yes,3,1,1,3,70,6,3,6
64,180103,36,S,Female,Yes,1,4,1,3,55,5,1,5
65,180103,42,R,Male,Yes,4,4,3,3,74,4,3,5
66,180103,26,S,Female,No,1,NaN,NaN,NaN,87,8,3,8
67,180103,24,S,Female,Yes,1,2,1,4,57,7,1,8
68,180103,21,S,Male,Yes,3,NaN,3,NaN,36,5,1,5
70,180103,12,S,Male,No,4,NaN,NaN,NaN,55,3,1,3
71,180103,12,U,Female,Yes,1,1,1,NaN,90,5,3,4
72,180103,23,R,Female,No,1,NaN,NaN,NaN,95,4,3,2
73,180103,45,S,Male,Yes,1,4,1,NaN,74,7,3,5
74,180103,45,S,Female,No,1,NaN,NaN,NaN,74,1,3,1
75,180103,37,R,Female,Yes,1,1,1,1,70,4,3,4
76,180103,42,S,Male,Yes,1,1,5,4,64,4,2,7
77,180103,36,S,Male,Yes,2,1,1,3,62,3,1,8
78,180103,26,U,Male,Yes,4,4,4,NaN,54,5,1,5
79,180103,39,S,Male,No,1,NaN,NaN,NaN,79,4,3,99
80,180103,18,S,Female,Yes,1,3,3,NaN,70,3,3,2
83,180103,47,S,Female,Yes,2,4,4,NaN,73,2,3,98
84,180103,36,U,Male,Yes,2,3,3,4,47,7,1,2
85,180103,37,U,Male,Yes,4,2,2,4,61,7,3,7
86,180103,36,U,Female,Yes,4,1,2,NaN,69,8,3,2
89,180103,37,U,Female,No,1,4,NaN,NaN,60,4,6,99
90,180103,37,R,Female,Yes,1,3,3,NaN,72,5,3,4
91,180103,51,S,Female,Yes,1,1,2,3,30,3,4,3
92,180103,9,U,Male,Yes,2,2,2,4,72,4,5,4
94,180103,12,S,Female,Yes,4,4,2,4,67,6,2,7
